Gw,YR,MN,TYP,CITY,CSIZk,CCLASS,REGION,REGIAB,COMPANY,GROUP,EC,ACTNAME,NSZZ,RZM,SN0,SN1,A1,A2,PPL,R1,R2,SITE,DR,CLAIMNAME,C1,C2,DI,TR,RS,VAN,VIO,INT,SOL
2,4,5,1,Płock,121,0,7,MZ,Orlen,0,3,S,1,0,1,1,2,0,1000,3,0,1,0,0,6,10,2,2,2,0,0,0,0
1,4,5,1,Poznań,542,3,15,WL,99,99,99,S / OPZZ / UP / SLD / SdRP,1,0,1,1,1,8,0,3,0,5,0,labour day,99,0,1,5,0,0,0,0,0
1,4,5,1,Przemyśl,62,0,9,PK,Przemyśl military,0,17,0,0,0,99,99,4,0,20,5,0,0,99,0,4,0,1,1,1,0,0,0,0
1,4,5,1,Przeworsk,16,0,9,PK,Cukrownia Przeworsk,0,3,S,1,0,1,1,2,0,100,3,0,1,1,0,10,0,2,3,0,0,0,0,0
1,4,5,1,Starachowice,49,0,13,SK,Starachowice hospital,0,17,0,0,0,1,1,4,0,16,4,0,3,2,0,10,0,2,2,2,0,0,0,0
3,4,5,1,Szczebrzeszyn,5,0,3,LL,Krajowa Spółka Cukrowa,0,3,0,0,0,1,1,4,0,100,4,0,6,1,against removing the plant from KSC,12,0,2,3,0,0,0,0,0
3,4,5,1,Toruń,202,3,2,KP,Krajowa Spółka Cukrowa,0,1,PSL,0,0,1,1,4,8,300,3,0,1,0,0,12,0,2,3,0,0,0,0,0
1,4,5,1,Warszawa,1754,3,7,MZ,0,0,17,0,0,0,1,1,99,4,,3,0,2,0,money for the 203 law,2,0,1,1,0,0,0,0,0
1,4,5,1,Warszawa,1754,3,7,MZ,99,99,99,OPZZ / SLD,0,0,1,1,1,8,700,3,0,5,0,labour day,99,0,1,5,0,0,0,0,0
2,4,5,1,Wrocław,638,3,1,DS,Wrocławska Jedynka,0,6,S,1,0,1,1,2,0,,3,0,3,2,previous agreement must be respected,5,0,1,2,0,0,0,0,0
1,4,6,1,Augustów,31,0,10,PD,Augustów hospital,0,17,0,0,0,1,1,4,6,200,3,0,3,0,0,12,0,2,2,3,0,0,0,0
9,4,6,1,Białystok,297,3,10,PD,PKP PR,0,8,S,1,0,1,1,2,0,5,6,0,1,6,0,12,0,2,3,3,0,0,0,0
1,4,6,2,Bydgoszcz,355,3,2,KP,MZK Bydgoszcz,0,8,0,0,0,1,1,2,0,0,1,0,1,0,0,15,0,2,2,0,0,0,0,0
2,4,6,1,Częstochowa,227,0,12,SL,Energetyczne systemy Ciepłownicze,0,4,S,1,0,1,1,2,0,1400,3,0,5,1,0,6,0,2,3,2,1,0,0,0
1,4,6,1,Drygały,1,0,14,WM,Eastwood,0,3,0,0,0,1,1,4,0,400,4,7,1,5,0,11,0,1,3,0,0,0,0,0
2,4,6,1,Jastrzębie Zdrój,90,0,12,SL,JSW,0,2,0,0,0,1,1,2,0,30,3,0,1,0,0,1,0,1,3,1,0,0,0,0
3,4,6,2,Katowice,298,3,12,SL,KW,0,2,S,1,0,1,1,2,0,0,1,0,1,0,0,1,0,1,3,0,1,0,0,0
5,4,6,1,Kielce,198,3,13,SK,PKP PR,0,8,S,1,0,1,1,2,0,100,4,0,6,1,against merging regional PR with central,3,0,2,3,3,0,0,0,0
9,4,6,1,Kielce,198,3,13,SK,PKP PR,0,8,S,1,0,1,1,2,0,9,6,0,4,6,against merging,3,0,2,3,0,0,0,0,0
1,4,6,2,Kielce,198,3,13,SK,0,0,16,ZNP,0,0,0,0,2,0,3500,7,0,9,99,0,1,0,1,2,2,0,0,0,0
1,4,6,1,Kraków,765,3,6,MP,Nestle / Goplana,0,3,FA,0,0,1,1,7,0,20,3,0,5,1,0,10,12,2,5,0,0,0,0,0
1,4,6,2,Lublin,340,3,3,LL,Lublin ZOZ,0,17,0,0,0,1,1,4,0,0,2,0,1,0,0,9,0,1,2,2,0,0,0,0
1,4,6,1,Pisz,19,0,14,WM,Holzwerk,0,3,0,0,0,2,2,4,0,600,4,0,1,5,0,11,0,1,3,0,0,0,0,0
3,4,6,2,PL,0,99,97,PL,0,veterinary,1,0,0,0,0,1,3,0,,5,0,0,99,against law that could lower wages,1,2,1,1,1,0,0,0,0
3,4,6,1,Poznań,542,3,15,WL,Nestle / Goplana,0,3,S,1,0,1,1,2,0,20,3,0,5,0,0,10,12,2,3,2,0,0,0,0
1,4,6,1,Poznań,542,3,15,WL,0,0,16,S / ZNP,1,0,1,1,2,0,150,3,0,3,0,0,2,10,2,2,3,0,0,0,0
1,4,6,1,Rzeszów,188,3,9,PK,0,0,16,S,1,0,1,1,2,0,70,3,0,3,0,0,10,0,2,2,0,0,0,0,0
1,4,6,2,SL,0,99,12,SL,0,healthcare,17,0,0,0,0,0,2,0,0,1,0,1,0,change NFZ policy,2,0,2,3,3,0,0,0,0
1,4,6,2,Szczecin,405,3,16,ZP,0,healthcare,17,S,1,0,1,1,2,0,0,3,0,3,0,0,15,2,1,2,0,0,0,0,0
1,4,6,1,Szczecin,405,3,16,ZP,Szczecin shipyard,0,3,S,1,0,1,1,2,4,2000,3,0,3,0,0,11,0,1,3,0,0,0,0,1
1,4,6,1,Warszawa,1754,3,7,MZ,0,photojournalists,10,0,0,0,1,1,4,0,0,8,0,2,0,help journalist injured by the police,99,0,1,1,0,0,0,0,1
1,4,6,2,Warszawa,1754,3,7,MZ,Tramwaje Warszawskie,0,8,SR80,0,0,0,1,2,0,,5,0,6,99,0,1,0,1,3,3,0,0,0,0
2,4,6,2,WM,0,99,14,WM,0,veterinary,1,0,0,0,118,118,3,0,118,5,0,1,99,against law that could lower wages,1,2,1,1,1,0,0,0,0
1,4,6,1,Zielona Góra,139,3,4,LS,PKP PR,0,8,S,1,0,1,1,2,0,100,4,0,6,1,against merging regional PR with central,3,0,2,3,0,0,0,0,0
